DATE,ICSA
1978-02-01,383250.000000000000
1978-03-01,349000.000000000000
1978-04-01,326000.000000000000
1978-05-01,327000.000000000000
1978-06-01,324250.000000000000
1978-07-01,350200.000000000000
1978-08-01,348750.000000000000
1978-09-01,322600.000000000000
1978-10-01,328250.000000000000
1978-11-01,330500.000000000000
1978-12-01,355600.000000000000
1979-01-01,357500.000000000000
1979-02-01,358500.000000000000
1979-03-01,358000.000000000000
1979-04-01,415500.000000000000
1979-05-01,348000.000000000000
1979-06-01,360000.000000000000
1979-07-01,379250.000000000000
1979-08-01,393750.000000000000
1979-09-01,385800.000000000000
1979-10-01,402250.000000000000
1979-11-01,413250.000000000000
1979-12-01,428200.000000000000
1980-01-01,414250.000000000000
1980-02-01,418000.000000000000
1980-03-01,433800.000000000000
1980-04-01,529750.000000000000
1980-05-01,615800.000000000000
1980-06-01,607000.000000000000
1980-07-01,559250.000000000000
1980-08-01,528200.000000000000
1980-09-01,482750.000000000000
1980-10-01,438000.000000000000
1980-11-01,412600.000000000000
1980-12-01,410000.000000000000
1981-01-01,413000.000000000000
1981-02-01,428750.000000000000
1981-03-01,407500.000000000000
1981-04-01,410250.000000000000
1981-05-01,416400.000000000000
1981-06-01,433000.000000000000
1981-07-01,430750.000000000000
1981-08-01,450200.000000000000
1981-09-01,473250.000000000000
1981-10-01,492800.000000000000
1981-11-01,511750.000000000000
1981-12-01,551000.000000000000
1982-01-01,535200.000000000000
1982-02-01,533750.000000000000
1982-03-01,556500.000000000000
1982-04-01,587000.000000000000
1982-05-01,583800.000000000000
1982-06-01,599500.000000000000
1982-07-01,576000.000000000000
1982-08-01,629500.000000000000
1982-09-01,660750.000000000000
1982-10-01,652400.000000000000
1982-11-01,594250.000000000000
1982-12-01,523750.000000000000
1983-01-01,501000.000000000000
1983-02-01,488750.000000000000
1983-03-01,480250.000000000000
1983-04-01,496000.000000000000
1983-05-01,468000.000000000000
1983-06-01,444250.000000000000
1983-07-01,408000.000000000000
1983-08-01,435750.000000000000
1983-09-01,408750.000000000000
1983-10-01,402200.000000000000
1983-11-01,392500.000000000000
1983-12-01,368800.000000000000
1984-01-01,351000.000000000000
1984-02-01,339250.000000000000
1984-03-01,345800.000000000000
1984-04-01,369250.000000000000
1984-05-01,360250.000000000000
1984-06-01,361400.000000000000
1984-07-01,360500.000000000000
1984-08-01,389500.000000000000
1984-09-01,395400.000000000000
1984-10-01,419250.000000000000
1984-11-01,407000.000000000000
1984-12-01,385600.000000000000
1985-01-01,370750.000000000000
1985-02-01,391750.000000000000
1985-03-01,380800.000000000000
1985-04-01,398250.000000000000
1985-05-01,392750.000000000000
1985-06-01,392400.000000000000
1985-07-01,378250.000000000000
1985-08-01,404400.000000000000
