Date,10-year-T,Corporate-Profits,GDP,Net-Exports,Unemployment-Rate,SP500-PosNeg
1990-08-01,8.752608695652174,288.2,9398.499,-74.953,5.7,False
1990-09-01,8.893157894736841,288.2,9398.499,-74.953,5.9,False
1990-10-01,8.719545454545454,289.53,9312.937,-79.096,5.9,True
1990-11-01,8.392,289.53,9312.937,-79.096,6.2,True
1990-12-01,8.075,289.53,9312.937,-79.096,6.3,True
1991-01-01,8.091904761904763,303.293,9269.367,-47.14,6.4,True
1991-02-01,7.854736842105263,303.293,9269.367,-47.14,6.6,True
1991-03-01,8.11,303.293,9269.367,-47.14,6.8,True
1991-04-01,8.039090909090909,309.454,9341.642,-23.188,6.7,True
1991-05-01,8.067727272727272,309.454,9341.642,-23.188,6.9,False
1991-06-01,8.284,309.454,9341.642,-23.188,6.9,True
1991-07-01,8.272727272727272,314.815,9388.845,-21.074,6.8,True
1991-08-01,7.9,314.815,9388.845,-21.074,6.9,False
1991-09-01,7.65,314.815,9388.845,-21.074,6.9,True
1991-10-01,7.5272727272727264,318.455,9421.565,-23.053,7.0,False
1991-11-01,7.417368421052631,318.455,9421.565,-23.053,7.0,True
1991-12-01,7.088571428571429,318.455,9421.565,-23.053,7.3,False
1992-01-01,7.032380952380952,328.586,9534.346,-20.536,7.3,True
1992-02-01,7.337894736842106,328.586,9534.346,-20.536,7.4,False
1992-03-01,7.542272727272726,328.586,9534.346,-20.536,7.4,True
1992-04-01,7.480476190476191,340.749,9637.732,-32.788,7.4,True
1992-05-01,7.392,340.749,9637.732,-32.788,7.6,False
1992-06-01,7.261818181818183,340.749,9637.732,-32.788,7.8,True
1992-07-01,6.844545454545456,323.237,9732.979,-38.488,7.7,False
1992-08-01,6.585714285714285,323.237,9732.979,-38.488,7.6,True
1992-09-01,6.415238095238095,323.237,9732.979,-38.488,7.6,True
1992-10-01,6.589047619047619,330.015,9834.51,-47.14,7.3,True
1992-11-01,6.873157894736842,330.015,9834.51,-47.14,7.4,True
1992-12-01,6.77,330.015,9834.51,-47.14,7.4,True
1993-01-01,6.6,328.957,9850.973,-55.704,7.3,True
1993-02-01,6.258947368421053,328.957,9850.973,-55.704,7.1,True
1993-03-01,5.975217391304348,328.957,9850.973,-55.704,7.0,False
1993-04-01,5.9695238095238095,343.279,9908.347,-63.187,7.1,True
1993-05-01,6.0355,343.279,9908.347,-63.187,7.1,True
1993-06-01,5.962727272727273,343.279,9908.347,-63.187,7.0,False
1993-07-01,5.805238095238095,355.933,9955.641,-68.354,6.9,True
1993-08-01,5.677727272727273,355.933,9955.641,-68.354,6.8,False
1993-09-01,5.36,355.933,9955.641,-68.354,6.7,True
1993-10-01,5.334,375.422,10091.049,-73.449,6.8,False
1993-11-01,5.724,375.422,10091.049,-73.449,6.6,True
1993-12-01,5.7740909090909085,375.422,10091.049,-73.449,6.5,True
1994-01-01,5.7505,404.995,10188.954,-80.595,6.6,False
1994-02-01,5.9731578947368416,404.995,10188.954,-80.595,6.6,False
1994-03-01,6.482608695652174,404.995,10188.954,-80.595,6.5,True
1994-04-01,6.9721052631578955,418.333,10327.019,-90.572,6.4,True
1994-05-01,7.183333333333333,418.333,10327.019,-90.572,6.1,False
1994-06-01,7.1013636363636365,418.333,10327.019,-90.572,6.1,True
1994-07-01,7.298,439.704,10387.382,-96.868,6.1,True
1994-08-01,7.236086956521739,439.704,10387.382,-96.868,6.0,False
1994-09-01,7.457142857142857,439.704,10387.382,-96.868,5.9,True
1994-10-01,7.744,453.102,10506.372,-101.913,5.8,False
1994-11-01,7.955,453.102,10506.372,-101.913,5.6,True
1994-12-01,7.813809523809523,453.102,10506.372,-101.913,5.5,True
1995-01-01,7.7795,467.603,10543.644,-105.329,5.6,True
1995-02-01,7.469473684210526,467.603,10543.644,-105.329,5.4,True
1995-03-01,7.204782608695652,467.603,10543.644,-105.329,5.4,True
1995-04-01,7.062631578947368,491.19,10575.1,-109.492,5.8,True
1995-05-01,6.632727272727273,491.19,10575.1,-109.492,5.6,True
1995-06-01,6.168181818181818,491.19,10575.1,-109.492,5.6,True
1995-07-01,6.278,498.739,10665.06,-74.444,5.7,False
1995-08-01,6.4882608695652175,498.739,10665.06,-74.444,5.7,True
1995-09-01,6.1975,498.739,10665.06,-74.444,5.6,False
1995-10-01,6.044761904761905,505.677,10737.478,-69.78,5.5,True
1995-11-01,5.930476190476191,505.677,10737.478,-69.78,5.6,True
1995-12-01,5.7115,505.677,10737.478,-69.78,5.6,True
1996-01-01,5.652380952380952,524.958,10817.896,-88.795,5.6,True
1996-02-01,5.8055,524.958,10817.896,-88.795,5.5,True
1996-03-01,6.268571428571429,524.958,10817.896,-88.795,5.5,True
1996-04-01,6.511363636363637,526.924,10998.322,-93.709,5.6,True
1996-05-01,6.736818181818181,526.924,10998.322,-93.709,5.6,True
1996-06-01,6.912,526.924,10998.322,-93.709,5.3,False
